feature,importance
wins_diff,0.20558620559043986
drtg_diff,0.19575155221158358
ortg_diff,0.09600393751484834
titles5_diff,0.08079444394199396
mvp6_diff,0.0711591426022237
twopt_pct_diff,0.05745800467527618
ft_pct_diff,0.05711494868141565
seed_diff,0.05606108885148165
finals5_diff,0.052688090956171336
dpoy5_diff,0.042177740534463035
threept_pct_diff,0.04143423816953756
star_injury_flag_diff,0.023782942973974402
allstars_diff,0.019987663296590793
