feature,coefficient,abs_coefficient
finals5_diff,1.2692638805172587,1.2692638805172587
drtg_diff,-1.2640020595869887,1.2640020595869887
star_injury_flag_diff,-1.235149033347915,1.235149033347915
wins_diff,0.9679314709372637,0.9679314709372637
dpoy5_diff,0.6815194439419904,0.6815194439419904
mvp6_diff,0.5665750034842187,0.5665750034842187
ft_pct_diff,-0.4982326594706511,0.4982326594706511
ortg_diff,0.32246903840832475,0.32246903840832475
allstars_diff,0.1871715229110284,0.1871715229110284
threept_pct_diff,-0.14939860868571306,0.14939860868571306
seed_diff,-0.08746382834258566,0.08746382834258566
titles5_diff,0.062385983976582016,0.062385983976582016
twopt_pct_diff,-0.04439755240522586,0.04439755240522586
