feature,permutation_importance_mean,permutation_importance_std
dpoy5_diff,0.05400000000000004,0.05370288632839026
drtg_diff,0.025000000000000026,0.05361902647381807
star_injury_flag_diff,0.025000000000000022,0.045552167895721536
wins_diff,0.02000000000000003,0.06633249580710804
ft_pct_diff,-0.0009999999999999753,0.06707458535093604
mvp6_diff,-0.0069999999999999785,0.06519969325081218
twopt_pct_diff,-0.006999999999999998,0.025514701644346147
threept_pct_diff,-0.018,0.038418745424597084
seed_diff,-0.030999999999999993,0.0462493243193887
ortg_diff,-0.06199999999999997,0.04853864439804637
finals5_diff,-0.06199999999999997,0.05055689863905814
titles5_diff,-0.07199999999999998,0.04489988864128729
allstars_diff,-0.07599999999999997,0.042708313008125234
