feature,coefficient,abs_coefficient
finals5_diff,1.1775991148652942,1.1775991148652942
drtg_diff,-1.0387523566968277,1.0387523566968277
star_injury_flag_diff,-0.9798710850569295,0.9798710850569295
wins_diff,0.8396960345772748,0.8396960345772748
dpoy5_diff,0.48052021574772114,0.48052021574772114
ft_pct_diff,-0.44562108552570706,0.44562108552570706
ortg_diff,0.37431896793661257,0.37431896793661257
allstars_diff,0.22247019406802654,0.22247019406802654
threept_pct_diff,-0.21341566152653746,0.21341566152653746
seed_diff,-0.14511261638987533,0.14511261638987533
mvp6_diff,0.11142658553839345,0.11142658553839345
titles5_diff,0.026767357802249495,0.026767357802249495
twopt_pct_diff,0.004365587604885146,0.004365587604885146
