year,team_a,team_b,ortg_diff,drtg_diff,seed_diff,wins_diff,mvp6_diff,dpoy5_diff,allstars_diff,finals5_diff,titles5_diff,threept_pct_diff,twopt_pct_diff,ft_pct_diff,star_injury_flag_diff,team_a_won,winner
2003,Spurs,Nets,2.0,1.1200000000000059,-1.0,11.0,1.0,0.0,0.0,0.0,1.0,-0.0020000000000000018,0.010999999999999954,-0.016000000000000014,0.0,1.0,Spurs
2004,Lakers,Pistons,3.5,4.129999999999994,-1.0,2.0,1.0,-1.0,1.0,1.0,1.0,-0.01699999999999996,0.022999999999999965,-0.061000000000000054,1.0,0.0,Pistons
2005,Spurs,Pistons,1.5,-1.680000000000004,0.0,5.0,1.0,0.0,-2.0,0.0,0.0,0.018000000000000016,0.01899999999999996,-0.015000000000000013,0.0,1.0,Spurs
2006,Mavericks,Heat,3.0999999999999943,0.35,0.0,8.0,-1.0,0.0,-1.0,-1.0,0.0,0.030000000000000027,-0.0040000000000000036,0.051000000000000045,0.0,0.0,Heat
2007,Spurs,Cavaliers,5.6000000000000085,0.7,1.0,8.0,1.0,1.0,1.0,1.0,1.0,0.029000000000000026,0.020999999999999963,0.05500000000000005,0.0,1.0,Spurs
2008,Lakers,Celtics,2.799999999999997,4.129999999999994,0.0,-9.0,0.0,-1.0,-1.0,1.0,1.0,-0.0030000000000000027,0.008000000000000007,0.0040000000000000036,0.0,0.0,Celtics
2009,Lakers,Magic,3.5999999999999943,1.959999999999998,-2.0,6.0,1.0,-1.0,-1.0,1.0,0.0,-0.020000000000000018,0.017000000000000015,0.05500000000000005,-1.0,1.0,Lakers
2010,Lakers,Celtics,1.0999999999999943,-0.06999999999999601,-3.0,7.0,0.0,-1.0,0.0,0.0,0.0,-0.006999999999999951,-0.0030000000000000027,0.019000000000000017,0.0,1.0,Lakers
2011,Mavericks,Heat,-2.0,1.0499999999999998,1.0,-1.0,0.0,0.0,-2.0,1.0,0.0,-0.0050000000000000044,-0.01200000000000001,0.008000000000000007,0.0,1.0,Mavericks
2012,Thunder,Heat,3.200000000000003,2.0999999999999996,0.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,-0.0010000000000000009,0.013000000000000012,0.031000000000000028,0.0,0.0,Heat
2013,Spurs,Heat,-4.0,-1.470000000000006,1.0,-8.0,-1.0,0.0,-1.0,-1.0,-1.0,-0.020000000000000018,-0.038000000000000034,0.03700000000000003,0.0,0.0,Heat
2014,Spurs,Heat,-0.4000000000000057,-2.3799999999999937,-1.0,8.0,-1.0,0.0,-2.0,0.0,-1.0,0.03300000000000003,-0.03200000000000003,0.025000000000000022,0.0,1.0,Spurs
2015,Warriors,Cavaliers,0.5,-3.429999999999994,-1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.031000000000000028,0.019000000000000017,0.017000000000000015,-1.0,1.0,Warriors
2016,Warriors,Cavaliers,3.5999999999999943,-0.49000000000000193,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.05299999999999999,0.01200000000000001,0.015000000000000013,0.0,0.0,Cavaliers
2017,Warriors,Cavaliers,2.0,-4.4099999999999975,-1.0,16.0,0.0,1.0,1.0,0.0,0.0,-0.0010000000000000009,0.010000000000000009,0.040000000000000036,0.0,1.0,Warriors
2018,Warriors,Cavaliers,0.6999999999999886,-3.010000000000008,-2.0,8.0,0.0,1.0,2.0,0.0,0.0,0.019000000000000017,0.020000000000000018,0.03599999999999992,0.0,1.0,Warriors
2019,Warriors,Raptors,2.8000000000000114,1.680000000000004,-1.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.019000000000000017,0.02399999999999991,-0.0030000000000000027,1.0,0.0,Raptors
2020,Lakers,Heat,-0.5,-2.240000000000002,-4.0,8.0,1.0,1.0,0.0,0.0,0.0,-0.030000000000000027,0.0030000000000000027,-0.05400000000000005,-1.0,1.0,Lakers
2021,Suns,Bucks,0.0,-0.07000000000000596,-1.0,5.0,-1.0,-1.0,0.0,0.0,0.0,-0.01100000000000001,-0.015999999999999903,0.07399999999999995,0.0,0.0,Bucks
2022,Warriors,Celtics,-1.9000000000000057,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.008000000000000007,0.0050000000000000044,-0.04699999999999993,0.0,1.0,Warriors
2023,Nuggets,Heat,4.599999999999994,0.6300000000000039,-7.0,9.0,1.0,0.0,-1.0,-1.0,0.0,0.03500000000000003,0.027999999999999914,-0.07999999999999996,0.0,1.0,Nuggets
2024,Mavericks,Celtics,-5.6000000000000085,2.6600000000000077,4.0,-14.0,0.0,-1.0,0.0,-1.0,0.0,-0.019000000000000017,-0.0129999999999999,-0.049000000000000044,0.0,0.0,Celtics
2025,Thunder,Pacers,3.799999999999997,-4.759999999999998,-3.0,18.0,1.0,0.0,0.0,0.0,0.0,0.006000000000000005,0.008000000000000007,0.03199999999999992,0.0,1.0,Thunder
2026,Spurs,Knicks,-0.20000000000000284,-1.4,1.0,9.0,0.0,1.0,0.0,0.0,0.0,0.009000000000000008,0.008000000000000007,-0.019000000000000017,0.0,,
