feature,coefficient,abs_coefficient
star_injury_flag_diff,-1.3979320394921155,1.3979320394921155
finals5_diff,1.2828028639621276,1.2828028639621276
drtg_diff,-1.1263374230520267,1.1263374230520267
mvp6_diff,0.8536339987365833,0.8536339987365833
dpoy5_diff,0.6466675990650764,0.6466675990650764
ft_pct_diff,-0.6298942780454412,0.6298942780454412
wins_diff,0.5829503472356228,0.5829503472356228
titles5_diff,-0.36297064657285816,0.36297064657285816
seed_diff,-0.32415755499859145,0.32415755499859145
threept_pct_diff,-0.3151195759048993,0.3151195759048993
ortg_diff,0.2533110410059772,0.2533110410059772
twopt_pct_diff,-0.08706732095884613,0.08706732095884613
allstars_diff,0.08154779229323772,0.08154779229323772
